"Sl. No","App ID","Zip File","App Name","Product","App Features","Expected Folders","Prompt","Functional Requirements","Success Criteria","Expected Platform Features","Complexity","Reference Links","Picked By"
"11","4139","app_4139_v689758.zip","Auto ticket merger","Modules: common, support_ticket","# Auto ticket merger This app merges tickets that were raised by the same customer within a configured window of time into the first ticket raised by the customer during the same window. It merges these tickets by 1. Adding a private note to the first ticket with the contents of the second ticket. 2. Adding a private note to the second ticket stating that its been merged with first ticket. 3. Closing the second ticket. It needs the following installation parameters. 1. Freshdesk API Key - needed…

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, support_ticket (Auto ticket merger). Package reference: app_4139_v689758.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onTicketCreate, onTicketUpdate fire (module support_ticket), run the declared server handlers (Must)
- Use request templates getTicket, mergeTickets for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): getTicket, mergeTickets
Serverless events (module support_ticket): onTicketCreate, onTicketUpdate
iparams (installation / configuration parameters)","Low","",""
"12","4239","app_4239_v3992.zip","App 4239","freshdesk","App 4239 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 4239). Package reference: app_4239_v3992.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_conversation_editor (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 4239
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): ticket_conversation_editor
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"13","5416","app_5416_v20763.zip","App 5416","freshdesk","App 5416 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 5416). Package reference: app_5416_v20763.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_ticket_background, ticket_background (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 5416
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): new_ticket_background, ticket_background
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"14","7016","app_7016_v220066.zip","App 7016","freshservice","App 7016 extends freshservice with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshservice.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshservice (App 7016). Package reference: app_7016_v220066.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (product freshservice) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 7016
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshservice): ticket_background
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"15","7656","app_7656_v711097.zip","App 7656","Modules: common, support_ticket","App 7656 extends Modules: common, support_ticket with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for Modules: common, support_ticket (App 7656). Package reference: app_7656_v711097.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_sidebar (module support_ticket) (Must)
- When events onAppInstall, onAppUninstall, onExternalEvent fire (module common), run the declared server handlers (Must)
- When events onConversationCreate, onTicketUpdate fire (module support_ticket), run the declared server handlers (Must)
- Use request templates addAttachment, addComment, addNote, agentDetails, allProjectsIssueTypes, assignableUsers, autoComplete, bulkUserDetails, commentProperties, contactDetails, contactsDetails, createConfigWebhook… for outbound calls (module common) (Must)
- Expose SMI functions CreateJiraIssue, CreateJiraWebhook, DeleteJiraIssue, GetAllProjectsIssueTypesFields, GetAssignableUsers, JiraAddAttachmentOnIssueLink, RemoveWebhookURL, SearchJiraIssue, UpdateFDTicket, UpdateWebhookEvents, ValidateAndFixWebhooks, getEpicLinks, getGroupValues, getSprintDetails, makeAutoCompleteApi, syncMappedFieldsToCreateIssue, updateJiraFieldsOnSync where declared (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 7656
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (module common): onAppInstall, onAppUninstall, onExternalEvent
Request templates (module common): addAttachment, addComment, addNote, agentDetails, allProjectsIssueTypes, assignableUsers, autoComplete, bulkUserDetails, commentProperties, contactDetails, contactsDetails, createConfigWebhook, createContact, createIssue, createWebhook, createWebhookLegacy, customTicketFieldsDetails, deleteIssue, deletedContacts, domainExists, fieldsDetailsWithDefaultStatus, getAgent, getAllJiraStatus, getContact, getFreshdeskRoles, getIssue, getJiraIssueCf, getJiraIssueTypes, getJiraPriority, getJiraProject, getJiraProjectById, getJiraProjectFields, getJiraProjectFieldsById, getJiraStatusTypes, getTicketDetails, getTicketFields, groupValues, issueTransitions, jiraPriority, jiraProjects, jiraSearch, jiraSearchNew, makeTransitions, projectFields, projectStatus, removeFDOnJira, removeWebhook, restoreContact, sendReply, serverInfo, ticketDetailsWithRequester, ticketFieldValue, ticketFieldsDetails, updateFDTicket, updateIssue, updateNote, updatePriority, updateWebhook, upmToken
SMI functions (module common): CreateJiraIssue, CreateJiraWebhook, DeleteJiraIssue, GetAllProjectsIssueTypesFields, GetAssignableUsers, JiraAddAttachmentOnIssueLink, RemoveWebhookURL, SearchJiraIssue, UpdateFDTicket, UpdateWebhookEvents, ValidateAndFixWebhooks, getEpicLinks, getGroupValues, getSprintDetails, makeAutoCompleteApi, syncMappedFieldsToCreateIssue, updateJiraFieldsOnSync
App locations (module support_ticket): ticket_sidebar
Serverless events (module support_ticket): onConversationCreate, onTicketUpdate
Crayons UI (components referenced in app assets)
iparams (installation / configuration parameters)","Low","",""
"16","8033","app_8033_v12045.zip","App 8033","freshdesk","App 8033 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 8033). Package reference: app_8033_v12045.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 8033
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): ticket_background
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"17","9545","app_9545_v692164.zip","Freshdesk App Project","Modules: common, support_email, support_ticket","## Freshdesk App Project Congratulations on creating your App Project! Feel free to replace this text with your project description. ### Project folder structure explained . ├── README.md This file. ├── config Installation parameter configs. │ ├── iparams.json Installation parameter config in English language. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest. └── server Business logic for remote request and event handlers. ├── lib │ └─…

Goals
- Deliver the packaged workflow reliably in Modules: common, support_email, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for Modules: common, support_email, support_ticket (Freshdesk App Project). Package reference: app_9545_v692164.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (module support_ticket) (Must)
- Render UI in locations new_email_background (module support_email) (Must)
- Use request templates getConversations, getEmailConfigs, getEmailConfigsIparams, getTicketFields, verifyAPIKey for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Freshdesk App Project
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (module support_ticket): ticket_background
App locations (module support_email): new_email_background
Request templates (module common): getConversations, getEmailConfigs, getEmailConfigsIparams, getTicketFields, verifyAPIKey
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"18","9817","app_9817_v715138.zip","App 9817","Modules: common, support_email, support_ticket","App 9817 extends Modules: common, support_email, support_ticket with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in Modules: common, support_email, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for Modules: common, support_email, support_ticket (App 9817). Package reference: app_9817_v715138.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_ticket_background, ticket_background (module support_ticket) (Must)
- Render UI in locations new_email_background (module support_email) (Must)
- Use request templates getAdminTicketFields, getTicketFields, getTicketFieldsInApp for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 9817
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (module support_ticket): new_ticket_background, ticket_background
App locations (module support_email): new_email_background
Request templates (module common): getAdminTicketFields, getTicketFields, getTicketFieldsInApp
Crayons UI (components referenced in app assets)
iparams (installation / configuration parameters)","Low","",""
"19","9822","app_9822_v686029.zip","App 9822","freshdesk","App 9822 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 9822). Package reference: app_9822_v686029.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_email_background, new_ticket_background, ticket_background (product freshdesk) (Must)
- Use request templates getAdminTicketFields, getTicketFields, getUserRoles for outbound calls (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 9822
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): new_email_background, new_ticket_background, ticket_background
Request templates (freshdesk): getAdminTicketFields, getTicketFields, getUserRoles
Crayons UI (components referenced in app assets)
iparams (installation / configuration parameters)","Low","",""
"20","9955","app_9955_v673264.zip","SCIM FreshService App","Modules: common, service_user","## SCIM FreshService App ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshservice_logo.png The Freshservice logo that is displayed in the app │ ├── style.css Style sheet for the app │ ├── template.html Contains the HTML required for the app’s UI ├── config Contain…

Goals
- Deliver the packaged workflow reliably in Modules: common, service_user.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, service_user (SCIM FreshService App). Package reference: app_9955_v673264.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppInstall, onAppUninstall fire (module common), run the declared server handlers (Must)
- Use request templates activateConfig, deleteConfig for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (module common): onAppInstall, onAppUninstall
Request templates (module common): activateConfig, deleteConfig
iparams (installation / configuration parameters)","Low","",""
"21","10450","app_10450_v355094.zip","Your First App","freshdesk","## Your First App Congratulations on creating your first app! Feel free to replace this text with your app's actual description. ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshdesk_logo.png The Freshdesk logo that is displayed in the app │ ├── style.css Style sh…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (Your First App). Package reference: app_10450_v355094.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_email_background, new_ticket_background, ticket_background (product freshdesk) (Must)
- Use request templates verifyAPIkey for outbound calls (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Your First App
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): new_email_background, new_ticket_background, ticket_background
Request templates (freshdesk): verifyAPIkey
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"22","12097","app_12097_v657849.zip","App 12097","Modules: common, service_ticket","App 12097 extends Modules: common, service_ticket with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in Modules: common, service_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, service_ticket (App 12097). Package reference: app_12097_v657849.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onConversationCreate, onTicketUpdate fire (module service_ticket), run the declared server handlers (Must)
- Use request templates get_related_tickets, post_note_request, update_parent_ticket_status for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): get_related_tickets, post_note_request, update_parent_ticket_status
Serverless events (module service_ticket): onConversationCreate, onTicketUpdate
iparams (installation / configuration parameters)","Medium","",""
"23","13203","app_13203_v107425.zip","App 13203","freshdesk","App 13203 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (App 13203). Package reference: app_13203_v107425.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_email_requester_info, ticket_background, ticket_conversation_editor, ticket_sidebar (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 13203
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): new_email_requester_info, ticket_background, ticket_conversation_editor, ticket_sidebar
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"24","13241","app_13241_v688594.zip","Your First App","Modules: common, service_change, service_ticket","## Your First App Congratulations on creating your first app! Feel free to replace this text with your app's actual description. ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshservice_logo.png The Freshservice logo that is displayed in the app │ ├── style.css St…

Goals
- Deliver the packaged workflow reliably in Modules: common, service_change, service_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for Modules: common, service_change, service_ticket (Your First App). Package reference: app_13241_v688594.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (module service_ticket) (Must)
- Render UI in locations change_background (module service_change) (Must)
- Use request templates changeFields, changeTimer, ticketFields, ticketTimer for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Your First App
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): changeFields, changeTimer, ticketFields, ticketTimer
App locations (module service_ticket): ticket_background
App locations (module service_change): change_background
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Medium","",""
"25","13306","app_13306_v692218.zip","Kabana","Modules: common, support_ticket","## Kabana Congratulations on creating your Kabana! Feel free to replace this text with your app's actual description. ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshdesk_logo.png The Freshdesk logo that is displayed in the app │ ├── style.css Style sheet for the…

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for Modules: common, support_ticket (Kabana). Package reference: app_13306_v692218.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations full_page_app (module common) (Must)
- When events onAppInstall fire (module common), run the declared server handlers (Must)
- Use request templates getAgent, getAgents, getAgentsListForSettings, getAllTickets, getGroupList, getStatusList, getTicketCompany, getTicketDetails, getTicketFields, getTicketFieldsForSettings, getTicketRequester, updateTicket… for outbound calls (module common) (Must)
- Expose SMI functions serverMethod where declared (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Kabana
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (module common): full_page_app
Serverless events (module common): onAppInstall
Request templates (module common): getAgent, getAgents, getAgentsListForSettings, getAllTickets, getGroupList, getStatusList, getTicketCompany, getTicketDetails, getTicketFields, getTicketFieldsForSettings, getTicketRequester, updateTicket, validateFd
SMI functions (module common): serverMethod
Crayons UI (components referenced in app assets)
iparams (installation / configuration parameters)","Low","",""
"26","14882","app_14882_v140978.zip","Teamviewer","freshchat","## Teamviewer We are updating the exsisting app as from Teamviewer side in for OAUTH authorization options field added and that is mandatory.

Goals
- Deliver the packaged workflow reliably in freshchat.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshchat (Teamviewer). Package reference: app_14882_v140978.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations conversation_user_info (product freshchat) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Teamviewer
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshchat): conversation_user_info
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Medium","",""
"27","15015","app_15015_v672737.zip","Freshservice App for HP Warranty","Modules: common, service_ticket","# Freshservice App for HP Warranty ## A serverless app for faciliating bulk warranty update (for items) for HP and Dell. ### **Features:** - Installer fetches the following details - Freshservice API Key (to fetch/update items, product details) - HP API Key and Secret (to fetch HP Warranty details) - Dell API credentials is common to all accounts and has been provided to the SI team - New fetch frequency - New fetch means fetching and updating new items' warranty details - **For the first ""New f…

Goals
- Deliver the packaged workflow reliably in Modules: common, service_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, service_ticket (Freshservice App for HP Warranty). Package reference: app_15015_v672737.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events afterAppUpdate, onAppInstall, onAppUninstall fire (module common), run the declared server handlers (Must)
- Handle scheduled events onScheduledEvent for module common (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (module common): afterAppUpdate, onAppInstall, onAppUninstall
Scheduled events (module common): onScheduledEvent
iparams (installation / configuration parameters)","Low","",""
